"Age","Income_Level","Avg_Cart_Size","Website_Visit_Frequency","Marketing_Emails_Opened","Device_Type","Loyalty_Program_Member","Subscribed_Premium"
50,78451.358,96.935,35,16,"Desktop",1,1
48,42413.641,121.471,10,17,"Mobile",1,1
51,118515.213,352.339,40,0,"Desktop",1,1
63,50402.656,14.803,15,11,"Tablet",0,1
51,140115.999,21.897,38,23,"Desktop",0,1
35,62345.651,452.381,8,6,"Desktop",0,1
62,26606.435,405.808,36,17,"Mobile",1,1
18,47154.801,91.87,29,13,"Desktop",1,0
21,39874.176,25.244,5,8,"Desktop",1,1
21,57098.008,54.388,46,23,"Mobile",0,1
32,91057.793,66.29,39,25,"Desktop",1,1
63,53313.774,435.079,24,28,"Mobile",0,1
60,138602.028,187.501,45,4,"Mobile",1,1
67,81170.103,304.954,49,25,"Desktop",0,1
59,104522.981,329.788,33,10,"Mobile",0,1
62,149916.925,410.053,35,15,"Mobile",0,1
57,97946.417,59.183,5,12,"Mobile",1,1
18,48148.974,323.652,44,0,"Desktop",0,1
33,70830.484,53.279,15,2,"Mobile",1,1
52,55917.353,38.28,21,8,"Desktop",0,1
68,30173.797,456.38,6,28,"Mobile",0,0
42,94064.951,290.758,26,9,"Mobile",1,1
38,115217.635,215.214,45,28,"Desktop",1,1
21,74867.368,31.886,16,18,"Desktop",0,1
62,137980.593,287.194,27,30,"Desktop",1,1
23,84136.593,286.555,8,7,"Desktop",0,1
41,102630.393,385.26,6,3,"Mobile",0,1
43,35406.599,396.75,48,12,"Tablet",0,1
65,25763.083,421.102,25,14,"Desktop",0,1
36,107998.091,287.63,36,13,"Desktop",0,1
59,23751.268,257.21,26,26,"Desktop",0,1
59,141869.004,269.505,12,19,"Mobile",1,1
27,123710.482,77.55,21,25,"Mobile",0,1
48,106837.336,31.215,37,28,"Mobile",0,1
32,97663.233,496.457,14,24,"Tablet",0,1
37,21756.734,277.111,22,2,"Desktop",0,0
31,48352.904,122.417,13,17,"Tablet",0,1
52,117531.723,311.611,50,22,"Tablet",0,1
52,66066.436,477.814,7,6,"Tablet",0,1
68,56324.999,453.652,20,30,"Mobile",0,1
24,124972.164,300.031,47,16,"Desktop",0,1
46,23573.816,424.026,28,29,"Desktop",1,1
